sample	age_group
SRR12212403	old
SRR12212404	old
SRR12212405	old
SRR12212406	old
SRR12212407	old
SRR12212408	old
SRR12212409	old
SRR12212410	old
SRR12212411	old
SRR12212412	old
SRR12212413	old
SRR12212414	old
SRR12212415	old
SRR12212416	old
SRR12212417	old
SRR12212418	old
SRR12212419	old
SRR12212420	old
SRR12212421	old
SRR12212422	old
SRR12212423	old
SRR12212424	old
SRR12212425	old
SRR12212426	old
SRR12212427	old
SRR12212428	old
SRR12212429	old
SRR12212430	old
SRR12212431	old
SRR12212432	old
SRR12212433	old
SRR12212434	old
SRR12212435	old
SRR12212436	old
SRR12212437	old
SRR12212438	old
SRR12212439	old
SRR12212440	old
SRR12212441	old
SRR12212442	old
SRR12212443	old
SRR12212444	old
SRR12212445	old
SRR12212446	old
SRR12212447	old
SRR12212448	old
SRR12212449	young
SRR12212450	young
SRR12212451	young
SRR12212452	young
SRR12212453	young
SRR12212454	young
SRR12212455	young
SRR12212456	young
SRR12212457	young
SRR12212458	young
SRR12212459	young
SRR12212460	young
SRR12212461	young
SRR12212462	young
SRR12212463	young
SRR12212464	young
SRR12212465	young
SRR12212466	young
SRR12212467	young
SRR12212468	young
SRR12212469	young
SRR12212470	young
SRR12212471	young
SRR12212472	young
SRR12212473	young
SRR12212474	young
SRR12212475	young
SRR12212476	young
SRR12212477	young
SRR12212478	young
SRR12212479	young
SRR12212480	young
SRR12212481	young
SRR12212482	young
SRR12212483	young
SRR12212484	young
SRR12212485	young
SRR12212486	young
SRR12212487	young
SRR12212488	young
SRR12212489	young
SRR12212490	young
